num,n,train_end,w,a,b,L,L_over_w,n_windows,max_abs_delta,t_patch_s,identity_bitexact,identity_ai_zero,scale_ok,unperturbed_vs_gate1_max_abs
124,30000,5000,166,15791,15874,83,0.5,248,9.636735853746359e-14,0.008194499998353422,True,True,True,1.8141044222375058e-13
124,30000,5000,166,14646,14812,166,1.0,331,1.5853984791647235e-13,0.007811458999640308,True,True,True,1.858513343222512e-13
124,30000,5000,166,29945,29987,42,0.25301204819277107,55,1.1501910535116622e-13,0.005506542001967318,True,True,True,6.52589093874667e-13
124,30000,5000,166,7535,7577,42,0.25301204819277107,207,1.1435297153639112e-13,0.005572750000283122,True,True,True,1.1746159600534156e-13
124,30000,5000,166,26577,26743,166,1.0,331,1.234568003383174e-13,0.007585874991491437,True,True,True,5.306866057708248e-14
124,30000,5000,166,9286,9328,42,0.25301204819277107,207,7.593925488436071e-14,0.007441207999363542,True,True,True,1.7275070263167436e-13
126,30000,8000,166,23010,23176,166,1.0,331,8.704148513061227e-14,0.014166667009703815,True,True,True,1.503241975342462e-13
126,30000,8000,166,18683,18849,166,1.0,331,2.611244553918368e-13,0.00921441700484138,True,True,True,3.8391512191537913e-13
126,30000,8000,166,19387,19470,83,0.5,248,2.389199948993337e-13,0.013537000006181188,True,True,True,5.186961971048731e-13
126,30000,8000,166,27220,27303,83,0.5,248,1.0969003483296547e-13,0.011594875002629124,True,True,True,2.2581936320875684e-13
126,30000,8000,166,20685,20851,166,1.0,331,2.162714451969805e-13,0.011365874990588054,True,True,True,2.9043434324194095e-13
126,30000,8000,166,14706,14872,166,1.0,331,1.0969003483296547e-13,0.014510374996461906,True,True,True,9.459100169806334e-14
126,30000,8000,166,26312,26354,42,0.25301204819277107,207,1.0169642905566434e-13,0.010746291998657398,True,True,True,2.879918525877656e-13
126,30000,8000,166,13227,13393,166,1.0,331,8.704148513061227e-14,0.010500791991944425,True,True,True,1.212363542890671e-13
126,30000,8000,166,10020,10103,83,0.5,248,1.3011813848606835e-13,0.013065417006146163,True,True,True,2.34035013590983e-13
126,30000,8000,166,23543,23585,42,0.25301204819277107,207,6.439293542825908e-14,0.011543500004336238,True,True,True,1.2922996006636822e-13
126,30000,8000,166,9048,9090,42,0.25301204819277107,207,1.9051427102567686e-13,0.009250749993952923,True,True,True,5.124789481669723e-13
126,30000,8000,166,24812,24895,83,0.5,248,6.350475700855895e-14,0.012052292004227638,True,True,True,7.416289804496046e-14
126,30000,8000,166,9569,9611,42,0.25301204819277107,207,1.6431300764452317e-13,0.009003166007460095,True,True,True,1.6653345369377348e-13
126,30000,8000,166,28234,28317,83,0.5,248,3.2818192607919627e-13,0.010009291989263147,True,True,True,2.886579864025407e-13
126,30000,8000,166,10482,10524,42,0.25301204819277107,207,1.0036416142611415e-13,0.012452875002054498,True,True,True,2.653433028854124e-13
126,30000,8000,166,11255,11338,83,0.5,248,1.6364687382974807e-13,0.007952582993311808,True,True,True,2.6556534749033744e-13
126,30000,8000,166,12702,12868,166,1.0,331,9.459100169806334e-14,0.013001665996853262,True,True,True,2.0894397323445446e-13
126,30000,8000,166,16949,16991,42,0.25301204819277107,207,1.3322676295501878e-13,0.012507958002970554,True,True,True,1.4765966227514582e-13
126,30000,8000,166,13946,14029,83,0.5,248,1.2079226507921703e-13,0.008745917002670467,True,True,True,1.8274270985330077e-13
126,30000,8000,166,17437,17520,83,0.5,248,2.1227464230832993e-13,0.010811750005814247,True,True,True,5.59996493620929e-13
148,30066,6000,34,19637,19646,9,0.2647058823529412,42,4.374278717023117e-14,0.003069209007662721,True,True,True,8.126832540256146e-14
148,30066,6000,34,14826,14860,34,1.0,67,3.375077994860476e-14,0.0038345420034602284,True,True,True,9.969802761133906e-14
148,30066,6000,34,21328,21362,34,1.0,67,5.684341886080802e-14,0.002568500000052154,True,True,True,7.016609515630989e-14
148,30066,6000,34,27547,27556,9,0.2647058823529412,42,5.5067062021407764e-14,0.003875750000588596,True,True,True,6.217248937900877e-14
