num,rid,train_end,w,kind,length,L,op,n_A,n_B,n,c,t_op,t_patch,no_donor
32,12,1000,178,normal,0.25w,45,identity,222,823,7321,44,9.750001481734216e-06,0.002811666010529734,False
32,13,1000,178,normal,0.25w,45,(before),222,823,7321,44,0.0,0.0033929169876500964,False
32,13,1000,178,normal,0.25w,45,B1_zero,222,823,7321,44,3.14170029014349e-05,0.0022059579932829365,False
32,13,1000,178,normal,0.25w,45,B2_global_mean,222,823,7321,44,2.4249995476566255e-05,0.003030959007446654,False
32,13,1000,178,normal,0.25w,45,B3_local_mean,222,823,7321,44,0.00016229199536610395,0.00285687499854248,False
32,13,1000,178,normal,0.25w,45,B4_linear_interp,222,823,7321,44,7.249999907799065e-05,0.0032009169954108074,False
32,13,1000,178,normal,0.25w,45,B5_gaussian,222,823,7321,44,8.762499783188105e-05,0.00249741600418929,False
32,13,1000,178,normal,0.25w,45,B6_shuffle,222,823,7321,44,5.3499999921768904e-05,0.0028371249936753884,False
32,13,1000,178,normal,0.25w,45,recon_test,222,823,7321,44,0.0009242079977411777,0.0027475829992908984,False
32,13,1000,178,normal,0.25w,45,recon_train,222,823,7321,44,0.00018279199139215052,0.003565791994333267,False
32,13,1000,178,normal,0.25w,45,identity,222,823,7321,44,1.812499249354005e-05,0.002924708998762071,False
32,14,1000,178,normal,0.25w,45,(before),222,823,7321,44,0.0,0.0026591659989207983,False
32,14,1000,178,normal,0.25w,45,B1_zero,222,823,7321,44,3.616699541453272e-05,0.002925207998487167,False
32,14,1000,178,normal,0.25w,45,B2_global_mean,222,823,7321,44,2.9417002224363387e-05,0.00308995800151024,False
32,14,1000,178,normal,0.25w,45,B3_local_mean,222,823,7321,44,0.0001269589993171394,0.002856624996638857,False
32,14,1000,178,normal,0.25w,45,B4_linear_interp,222,823,7321,44,3.183299850206822e-05,0.0028870000096503645,False
32,14,1000,178,normal,0.25w,45,B5_gaussian,222,823,7321,44,0.0001259580021724105,0.0020126669987803325,False
32,14,1000,178,normal,0.25w,45,B6_shuffle,222,823,7321,44,3.99590062443167e-05,0.002758041999186389,False
32,14,1000,178,normal,0.25w,45,recon_test,222,823,7321,44,0.0012767090083798394,0.00294154099537991,False
32,14,1000,178,normal,0.25w,45,recon_train,222,823,7321,44,0.0002577499981271103,0.0021739170042565092,False
32,14,1000,178,normal,0.25w,45,identity,222,823,7321,44,9.12499672267586e-06,0.0021395000076154247,False
32,15,1000,178,normal,0.25w,45,(before),222,823,7321,44,0.0,0.002905417000874877,False
32,15,1000,178,normal,0.25w,45,B1_zero,222,823,7321,44,1.8332997569814324e-05,0.0033352089958498254,False
32,15,1000,178,normal,0.25w,45,B2_global_mean,222,823,7321,44,3.079199814237654e-05,0.0023600419954163954,False
32,15,1000,178,normal,0.25w,45,B3_local_mean,222,823,7321,44,0.00015637499745935202,0.0029931250028312206,False
32,15,1000,178,normal,0.25w,45,B4_linear_interp,222,823,7321,44,6.408301123883575e-05,0.0032200830028159544,False
32,15,1000,178,normal,0.25w,45,B5_gaussian,222,823,7321,44,0.00020133300859015435,0.002328707996639423,False
32,15,1000,178,normal,0.25w,45,B6_shuffle,222,823,7321,44,4.8999994760379195e-05,0.0034727909951470792,False
32,15,1000,178,normal,0.25w,45,recon_test,222,823,7321,44,0.0012655000027734786,0.002657000004546717,False
32,15,1000,178,normal,0.25w,45,recon_train,222,823,7321,44,0.00018979200103785843,0.002988207997987047,False
32,15,1000,178,normal,0.25w,45,identity,222,823,7321,44,1.691700890660286e-05,0.0029647080082213506,False
32,16,1000,178,normal,0.25w,45,(before),222,823,7321,44,0.0,0.003108042001258582,False
32,16,1000,178,normal,0.25w,45,B1_zero,222,823,7321,44,1.7583995941095054e-05,0.0025730830093380064,False
32,16,1000,178,normal,0.25w,45,B2_global_mean,222,823,7321,44,2.70830059889704e-05,0.0029875830077799037,False
32,16,1000,178,normal,0.25w,45,B3_local_mean,222,823,7321,44,0.00014462500985246152,0.0030047079926589504,False
32,16,1000,178,normal,0.25w,45,B4_linear_interp,222,823,7321,44,6.758399831596762e-05,0.0022400000016205013,False
32,16,1000,178,normal,0.25w,45,B5_gaussian,222,823,7321,44,0.00015704201359767467,0.0031096250022528693,False
32,16,1000,178,normal,0.25w,45,B6_shuffle,222,823,7321,44,6.350000330712646e-05,0.0031296669912990183,False
32,16,1000,178,normal,0.25w,45,recon_test,222,823,7321,44,0.0013627089938381687,0.00275800000235904,False
32,16,1000,178,normal,0.25w,45,recon_train,222,823,7321,44,0.0005762499931734055,0.003380750000360422,False
32,16,1000,178,normal,0.25w,45,identity,222,823,7321,44,1.970799348782748e-05,0.0032330420071957633,False
32,17,1000,178,normal,0.25w,45,(before),222,823,7321,44,0.0,0.0031488750100834295,False
32,17,1000,178,normal,0.25w,45,B1_zero,222,823,7321,44,3.704200207721442e-05,0.0028512080025393516,False
