num,name,variant,domain_goswami,is_medical,content_group,name_group,fit_on,max_features,seed,n_fit,window,n_estimators,n,train_end,start0,stop0,max_anom,thr_b0,thr_bw,n_normal_b0,n_normal_bw,p1_b0,p1_bw,argmax0,p2_archive,p2_brief,fit_s,score_s,score_file
6,DISTORTEDCIMIS44AirTemperature2,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature2,train_prefix,1,0,4000,100,200,8184,4000,5702,5727,0.006772452911996796,0.06409598563668314,0.06464021627528266,4159,3959,False,False,5095,False,False,0.1292,0.0455,results/gate1/scores/006_train_prefix_mf1_seed0.npy
6,DISTORTEDCIMIS44AirTemperature2,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature2,train_prefix,1,1,4000,100,200,8184,4000,5702,5727,-0.0011899450864868433,0.059979067461980805,0.06028748314558625,4159,3959,False,False,5122,False,False,0.1291,0.0452,results/gate1/scores/006_train_prefix_mf1_seed1.npy
6,DISTORTEDCIMIS44AirTemperature2,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature2,train_prefix,1,2,4000,100,200,8184,4000,5702,5727,0.007036069740333439,0.06351590008360912,0.0637353078229826,4159,3959,False,False,5101,False,False,0.1317,0.0461,results/gate1/scores/006_train_prefix_mf1_seed2.npy
6,DISTORTEDCIMIS44AirTemperature2,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature2,train_prefix,1.0,0,4000,100,200,8184,4000,5702,5727,0.011399863809936628,0.11027945573986245,0.11202433721368985,4159,3959,False,False,5103,False,False,0.1137,0.0354,results/gate1/scores/006_train_prefix_mf1.0_seed0.npy
6,DISTORTEDCIMIS44AirTemperature2,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature2,train_prefix,1.0,1,4000,100,200,8184,4000,5702,5727,0.009983520555364445,0.11340454324375825,0.11399136855797079,4159,3959,False,False,5100,False,False,0.1159,0.0356,results/gate1/scores/006_train_prefix_mf1.0_seed1.npy
6,DISTORTEDCIMIS44AirTemperature2,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature2,train_prefix,1.0,2,4000,100,200,8184,4000,5702,5727,0.009632751333471856,0.1133108064992096,0.11352927270588586,4159,3959,False,False,5100,False,False,0.1164,0.0377,results/gate1/scores/006_train_prefix_mf1.0_seed2.npy
7,DISTORTEDCIMIS44AirTemperature3,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature3,full,1,0,8184,100,200,8184,4000,6519,6544,-0.029600629680025137,0.041683698361198,0.0420523856326309,4159,3959,False,False,4788,False,False,0.1989,0.0568,results/gate1/scores/007_full_mf1_seed0.npy
7,DISTORTEDCIMIS44AirTemperature3,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature3,full,1,1,8184,100,200,8184,4000,6519,6544,-0.03504171102187309,0.0362475218510119,0.036381568199163015,4159,3959,False,False,4786,False,False,0.2521,0.0573,results/gate1/scores/007_full_mf1_seed1.npy
7,DISTORTEDCIMIS44AirTemperature3,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature3,full,1,2,8184,100,200,8184,4000,6519,6544,-0.03149132471866034,0.04175003583740995,0.04248126486159107,4159,3959,False,False,4793,False,False,0.2726,0.0607,results/gate1/scores/007_full_mf1_seed2.npy
7,DISTORTEDCIMIS44AirTemperature3,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature3,full,1.0,0,8184,100,200,8184,4000,6519,6544,-0.054945195870197916,0.07036818470901465,0.0721149167023099,4159,3959,False,False,4791,False,False,0.1914,0.0404,results/gate1/scores/007_full_mf1.0_seed0.npy
7,DISTORTEDCIMIS44AirTemperature3,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature3,full,1.0,1,8184,100,200,8184,4000,6519,6544,-0.056268499267718486,0.07240623101967117,0.07288304976911424,4159,3959,False,False,4793,False,False,0.1669,0.0321,results/gate1/scores/007_full_mf1.0_seed1.npy
7,DISTORTEDCIMIS44AirTemperature3,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature3,full,1.0,2,8184,100,200,8184,4000,6519,6544,-0.05431659421691054,0.07623249543388881,0.07738066096188766,4159,3959,False,False,4787,False,False,0.2139,0.0458,results/gate1/scores/007_full_mf1.0_seed2.npy
